"Site","ID","year","agecat","Status_qPCR","Ratio_qPCR","ErrorRatio_qPCR","Hemoglobin","mass","tarsus","RatioWT","Sex","SMI"
"Carteau","K000001",2022,"Adult","uninfected",NA,NA,7.5,990,66.2,14.9546827794562,"F",1061.91960607008
"Carteau","K000002",2022,"Adult","uninfected",NA,NA,8.8,1010,65.7,15.3729071537291,"F",1102.65700290141
"Carteau","K000003",2022,"Adult","infected","1.18E-7",NA,10.6,1030,69.2,14.8843930635838,"F",996.550393993599
"Carteau","K000004",2022,"Adult","uninfected",NA,NA,8.8,1330,66.7,19.9400299850075,"F",1401.85508576116
"Carteau","K000005",2022,"Adult","infected","4.9599999999999999E-6",NA,8.2,990,67.1,14.7540983606557,"F",1029.06696806141
"Carteau","K000006",2022,"Adult","uninfected",NA,NA,10.1,1170,68,17.2058823529412,"F",1179.03893830455
"Carteau","K000007",2022,"Adult","uninfected",NA,NA,10.4,890,61.3,14.5187601957586,"F",1141.74605445496
"Carteau","K000008",2022,"Adult","uninfected",NA,NA,9.7,950,65.5,14.5038167938931,"F",1044.53755939848
"Carteau","K000009",2022,"Adult","uninfected",NA,NA,6.8,1050,65.9,15.9332321699545,"F",1138.24654775477
"Carteau","K000010",2022,"Adult","uninfected",NA,NA,15.6,1230,73.3,16.7803547066849,"M",1040.85877301969
"Carteau","K000012",2022,"Adult","uninfected",NA,NA,15.6,1170,69.4,16.8587896253602,"M",1124.42639472217
"Carteau","K000014",2022,"Adult","uninfected",NA,NA,12.2,980,65.3,15.0076569678407,"F",1085.21888805529
"Carteau","K000015",2022,"Adult","uninfected",NA,NA,14.7,1130,71,15.9154929577465,"M",1029.88049666517
"Carteau","K000016",2022,"Adult","uninfected",NA,NA,6.7,1130,71.5,15.8041958041958,"F",1013.19773099553
"Carteau","K000017",2022,"Adult","uninfected",NA,NA,13.2,930,66.7,13.9430284857571,"F",980.244533652544
"Carteau","K000019",2022,"Adult","uninfected",NA,NA,11.4,1030,66,15.6060606060606,"F",1112.63252207042
"Carteau","K000021",2022,"Adult","uninfected",NA,NA,12.7,1130,71.8,15.7381615598886,"M",1003.37298113183
"Frioul","K000102",2022,"Adult","uninfected",NA,NA,14.5,1190,74.8,15.9090909090909,"M",960.637929978122
"Frioul","K000103",2022,"Adult","uninfected",NA,NA,13.8,870,63.6,13.6792452830189,"F",1024.40385535428
"Frioul","K000104",2022,"Adult","uninfected",NA,NA,12.1,950,64.4,14.7515527950311,"F",1086.52995875208
"Frioul","K000105",2022,"Adult","uninfected",NA,NA,13.9,1270,71.9,17.663421418637,"M",1124.03803183868
"Frioul","K000106",2022,"Adult","uninfected",NA,NA,13.1,1330,73.5,18.0952380952381,"M",1118.3671389899
"Frioul","K000108",2022,"Adult","uninfected",NA,NA,15.5,1070,70.4,15.1988636363636,"M",994.64830245826
"Frioul","K000109",2022,"Adult","uninfected",NA,NA,13.1,840,61.7,13.614262560778,"F",1061.41482701476
"Frioul","K000110",2022,"Adult","uninfected",NA,NA,14.6,930,61.9,15.0242326332795,"F",1166.32061575843
"Frioul","K000111",2022,"Adult","uninfected",NA,NA,12.4,980,64.3,15.2410575427683,"F",1124.90228203265
"Frioul","K000112",2022,"Adult","uninfected",NA,NA,13.9,880,67,13.134328358209,"F",917.906596461108
"Frioul","K000113",2022,"Adult","infected","1.4700000000000001E-7",NA,13.5,950,68.4,13.8888888888889,"F",944.361003602238
"Frioul","K000114",2022,"Adult","uninfected",NA,NA,14.5,1210,73.7,16.4179104477612,"M",1011.04776084548
"Frioul","K000115",2022,"Adult","uninfected",NA,NA,13.9,930,65.5,14.1984732824427,"F",1022.54729499009
"Frioul","K000117",2022,"Adult","uninfected",NA,NA,15.5,1290,75.4,17.1087533156499,"M",1022.18062103079
"Carteau","K000023",2022,"Chick","infected",NA,NA,5.9,700,63,11.1111111111111,"F",826.687319221525
"Carteau","K000025",2022,"Chick","uninfected",NA,NA,6.3,820,66.7,12.2938530734633,"F",780.772771778982
"Carteau","K000026",2022,"Chick","uninfected",NA,NA,6.9,800,65.2,12.2699386503067,"F",830.000552809005
"Carteau","K000031",2022,"Chick","infected",NA,NA,8.3,780,67.8,11.5044247787611,"F",698.228410571598
"Carteau","K000033",2022,"Chick","uninfected",NA,NA,8.5,1000,70.5,14.1843971631206,"M",772.508027329556
"Carteau","K000034",2022,"Chick","uninfected",NA,NA,7.7,920,67.6,13.6094674556213,"M",832.784053222882
"Carteau","K000036",2022,"Chick","infected","8.47E-7","1.5300000000000001E-7",6.4,725,64.7,11.2055641421947,"F",774.360330191504
"Carteau","K000038",2022,"Chick","uninfected",NA,NA,7.5,920,67.6,13.6094674556213,"M",832.784053222882
