Site;Bague.darvic;Tag mass percentage;Tag mass;Year;Nid;date;masse;Sexe;Hatching.date.estimate;days;Statut;date de fin;cause;date_envol;envol;date_mort;vivant;date migration;migration;distance quotidienne
Frioul;00X:C;2.141509434;22.7;2024;12;13/06/2024;1060;M;27/04/2024;47;uninfected;;;;;;;;;
Carteau;01J:C;2.225490196;22.7;2023;9;23/05/2023;1020;F;16/04/2023;37;uninfected;;;;;;;;;
Carteau;03J:C;1.766129032;21.9;2023;10;23/05/2023;1240;M;16/04/2023;37;uninfected;28/08/2023;perte de transmission;;;;;;;
Carteau;03T:C;1.891666667;22.7;2024;3;06/06/2024;1200;M;21/04/2024;46;NA;;;;;;;;;
Carteau;06T:C;2.101851852;22.7;2024;8;06/06/2024;1080;M;21/04/2024;46;infected;;;;;;;;;
Carteau;07T:C;1.973913043;22.7;2024;11;06/06/2024;1150;M;21/04/2024;46;NA;;;;;;;;;
Carteau;08J:C;2.141509434;22.7;2023;13;15/05/2023;1060;M;09/04/2023;36;infected;;;;;;;;;
Carteau;0A9:C;2.045045045;22.7;2024;NA;17/06/2024;1110;M;NA;NA;infected;;;;;;;;;
Carteau;11J:C;2.27;22.7;2023;18;15/05/2023;1000;M;16/04/2023;29;uninfected;24/10/2023;mort;;;;;;;
Carteau;13J:C;1.923728814;22.7;2023;25;15/05/2023;1180;M;09/04/2023;36;infected;31/08/2023;mort;;;;;;;
Frioul;17X:C;1.973913043;22.7;2024;NA;13/06/2024;1150;M;NA;NA;uninfected;;;;;;;;;
Carteau;2A2:C;2.27;22.7;2024;NA;17/06/2024;1000;M;NA;NA;infected;;;;;;;;;
Frioul;36J:C;1.825;21.9;2023;3;09/06/2023;1200;M;27/04/2023;43;uninfected;08/07/2023;mort possible;;;;;;;
Frioul;38J:C;1.891666667;22.7;2023;7;09/06/2023;1200;NA;27/04/2023;NA;NA;;;;;;;;;
Carteau;38L:C;1.923728814;22.7;2023;NA;14/06/2023;1180;M;NA;NA;infected;31/07/2023;mort;;;;;;;
Carteau;39J:C;2.182692308;22.7;2023;NA;14/06/2023;1040;M;NA;NA;uninfected;28/06/2023;mort;;;;;;;
Frioul;3F9:C;2.063636364;22.7;2024;NA;13/06/2024;1100;M;NA;NA;uninfected;;;;;;;;;
Carteau;40J:C;2.225490196;22.7;2023;NA;14/06/2023;1020;M;NA;NA;infected;;;;;;;;;
Frioul;41F:C;2.364583333;22.7;2023;5;24/05/2023;960;F;19/04/2023;35;uninfected;04/06/2024;mort possible;;;;;;;
Carteau;41J:C;2.141509434;22.7;2023;NA;14/06/2023;1060;M;NA;NA;infected;14/08/2023;mort;;;;;;;
Frioul;43F:C;2.225490196;22.7;2023;18;24/05/2023;1020;M;11/04/2023;43;uninfected;;;;;;;;;
Frioul;44F:C;2.182692308;22.7;2023;2;30/05/2023;1040;M;22/04/2023;38;uninfected;19/09/2023;perte de transmission;;;;;;;
Frioul;47F:C;2.063636364;22.7;2023;10;09/06/2023;1100;M;20/04/2023;50;uninfected;12/11/2023;mort;;;;;;;
Frioul;4F0:C;1.795081967;21.9;2024;NA;13/06/2024;1220;M;NA;NA;uninfected;30/06/2024;perte de transmission;;;;;;;
Frioul;4F9:C;2.026785714;22.7;2024;NA;13/06/2024;1120;M;NA;NA;uninfected;;;;;;;;;
Carteau;62D:C;1.860655738;22.7;2023;20;23/05/2023;1220;M;16/04/2023;37;uninfected;;;;;;;;;
Carteau;69S:C;2.101851852;22.7;2024;19;22/05/2024;1080;M;09/04/2024;43;infected;;;;;;;;;
Carteau;70S:C;2.063636364;22.7;2024;24;06/06/2024;1100;M;16/04/2024;51;infected;;;;;;;;;
Frioul;73D:C;2.141509434;22.7;2023;NA;09/06/2023;1060;M;NA;NA;uninfected;08/11/2023;mort;;;;;;;
Carteau;755:C;2.141509434;22.7;2022;18;31/05/2022;1060;F;20/04/2022;41;uninfected;;;;;;;;;
Carteau;802:C;2.316326531;22.7;2022;13;31/05/2022;980;F;22/04/2022;39;infected;14/12/2022;perte de transmission;;;;;;;
Carteau;805:C;1.973913043;22.7;2022;9;31/05/2022;1150;M;22/04/2022;39;infected;27/09/2022;mort;;;;;;;
Frioul;809:C;1.825;21.9;2022;7;08/06/2022;1200;M;25/04/2022;44;uninfected;;;;;;;;;
Carteau;822:C;2.27;22.7;2022;3;31/05/2022;1000;F;22/04/2022;39;infected;18/11/2022;perte de transmission;;;;;;;
Frioul;823:C;2.225490196;22.7;2022;28;08/06/2022;1020;M;23/04/2022;46;uninfected;03/06/2023;mort;;;;;;;
Carteau;843:C;2.082568807;22.7;2022;15;16/05/2022;1090;NA;16/04/2022;NA;uninfected;29/06/2022;mort;;;;;;;
Frioul;848:C;2.141509434;22.7;2022;30;08/06/2022;1060;M;23/04/2022;46;uninfected;01/12/2023;perte de transmission;;;;;;;
Frioul;84H:C;2.141509434;22.7;2023;NA;09/06/2023;1060;M;NA;NA;uninfected;16/07/2023;mort;;;;;;;
Frioul;894:C;2.182692308;22.7;2022;15;08/06/2022;1040;M;22/04/2022;47;uninfected;;;;;;;;;
Carteau;897:C;1.99122807;22.7;2022;22;31/05/2022;1140;M;22/04/2022;NA;uninfected;28/07/2022;mort;;;;;;;
Frioul;901:C;2.085714286;21.9;2022;25;08/06/2022;1050;M;22/04/2022;47;uninfected;20/10/2022;mort;;;;;;;
Frioul;90H:C;1.860655738;22.7;2023;NA;09/06/2023;1220;M;NA;NA;uninfected;;;;;;;;;
Frioul;94S:C;2.101851852;22.7;2024;3;13/06/2024;1080;M;02/05/2024;42;uninfected;20/06/2024;mort;;;;;;;
Frioul;965:C;2.141509434;22.7;2022;14;08/06/2022;1060;M;16/04/2022;53;uninfected;18/10/2022;perte de transmission;;;;;;;
