id;x;y;infected
1;4.856552;43.377673;0
2;4.856637;43.377788;1
3;4.856656;43.377693;1
4;4.857037;43.377816;1
5;4.857144;43.37768;0
6;4.857029;43.377649;1
8;4.857314;43.377684;0
9;4.857351;43.377758;1
10;4.857455;43.377821;0
13;4.857702;43.377712;1
14;4.85777;43.377731;0
15;4.857486;43.377652;1
17;4.857661;43.377854;0
18;4.857395;43.377966;0
19;4.857558;43.377955;0
20;4.857675;43.37792;0
22;4.857977;43.377818;0
23;4.857877;43.377996;1
26;4.858044;43.377985;1
27;4.85784;43.378106;0
28;4.85799;43.378028;0
30;4.858186;43.378046;1
