id;x;y;infected
1;5.323511;43.286114;1
2;5.323372;43.286204;0
3;5.323456;43.286102;1
4;5.322015;43.285849;0
5;5.321684;43.285866;0
6;5.321392;43.285842;0
7;5.321462;43.285956;0
8;5.321481;43.285474;0
9;5.321659;43.285533;0
10;5.322432;43.285505;0
13;5.323351;43.285646;0
14;5.323547;43.285838;0
15;5.31966;43.285633;0
16;5.319963;43.285633;0
17;5.31971;43.285702;0
18;5.320365;43.285543;0
21;5.321519;43.28555;0
22;5.321396;43.285475;0
23;5.321251;43.285604;0
25;5.320262;43.285115;0
26;5.320504;43.285205;0
27;5.320649;43.28543;0
28;5.320797;43.285326;0
29;5.321013;43.285568;0
30;5.320913;43.285375;0
